Name,Type,Species,Height,Weight (KG),Abilities,Base Exp.,Growth Rate,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Total
Slowking,Poison Psychic,Hexpert Pokémon,1.8,79.5,Curious Medicine Own Tempo Regenerator,172,Medium Fast,95,65,80,110,110,30,395
Misdreavus,Ghost,Screech Pokémon,0.7,1,1. Levitate,87,Fast,60,60,60,85,85,85,375
Unown,Psychic,Symbol Pokémon,0.5,5,1. Levitate,118,Medium Fast,48,72,48,72,48,48,288
Wobbuffet,Psychic,Patient Pokémon,1.3,28.5,1. Shadow TagTelepathy (hidden ability),142,Medium Fast,190,33,58,33,58,33,215
Girafarig,Normal Psychic,Long Neck Pokémon,1.5,41.5,1. Inner Focus2. Early BirdSap Sipper (hidden ability),159,Medium Fast,70,80,65,90,65,85,385
Pineco,Bug,Bagworm Pokémon,0.6,7.2,1. SturdyOvercoat (hidden ability),58,Medium Fast,50,65,90,35,35,15,240
Forretress,Bug Steel,Bagworm Pokémon,1.2,125.8,1. SturdyOvercoat (hidden ability),163,Medium Fast,75,90,140,60,60,40,390
Dunsparce,Normal,Land Snake Pokémon,1.5,14,1. Serene Grace2. Run AwayRattled (hidden ability),145,Medium Fast,100,70,70,65,65,45,315
Gligar,Ground Flying,FlyScorpion Pokémon,1.1,64.8,1. Hyper Cutter2. Sand VeilImmunity (hidden ability),86,Medium Slow,65,75,105,35,65,85,365
Steelix,Steel Ground,Iron Snake Pokémon,10.5,740,Sand Force,214,Medium Fast,75,125,230,55,95,30,535
Snubbull,Fairy,Fairy Pokémon,0.6,7.8,1. Intimidate2. Run AwayRattled (hidden ability),60,Fast,60,80,50,40,40,30,240
Granbull,Fairy,Fairy Pokémon,1.4,48.7,1. Intimidate2. Quick FeetRattled (hidden ability),158,Fast,90,120,75,60,60,45,360
Qwilfish,Dark Poison,Balloon Pokémon,0.5,3.9,Poison Point Swift Swim Intimidate,88,Medium Fast,65,95,85,55,55,85,375
Scizor,Bug Steel,Pincer Pokémon,2,125,Technician,210,Medium Fast,70,150,140,65,100,75,530
Shuckle,Bug Rock,Mold Pokémon,0.6,20.5,1. Sturdy2. GluttonyContrary (hidden ability),177,Medium Slow,20,10,230,10,230,5,485
Heracross,Bug Fighting,Single Horn Pokémon,1.7,62.5,Skill Link,210,Slow,80,185,115,40,105,75,520
Sneasel,Fighting Poison,Sharp Claw Pokémon,0.9,27,Inner Focus Keen Eye Pickpocket,86,Medium Slow,55,95,55,35,75,115,375
Teddiursa,Normal,Little Bear Pokémon,0.6,8.8,1. Pickup2. Quick FeetHoney Gather (hidden ability),66,Medium Fast,60,80,50,50,50,40,270
Ursaring,Normal,Hibernator Pokémon,1.8,125.8,1. Guts2. Quick FeetUnnerve (hidden ability),175,Medium Fast,90,130,75,75,75,55,410
Slugma,Fire,Lava Pokémon,0.7,35,1. Magma Armor2. Flame BodyWeak Armor (hidden ability),50,Medium Fast,40,40,40,70,40,20,210
Magcargo,Fire Rock,Lava Pokémon,0.8,55,1. Magma Armor2. Flame BodyWeak Armor (hidden ability),151,Medium Fast,60,50,120,90,80,30,370
Swinub,Ice Ground,Pig Pokémon,0.4,6.5,1. Oblivious2. Snow CloakThick Fat (hidden ability),50,Slow,50,50,40,30,30,50,200
Piloswine,Ice Ground,Swine Pokémon,1.1,55.8,1. Oblivious2. Snow CloakThick Fat (hidden ability),158,Slow,100,100,80,60,60,50,350
Corsola,Ghost,Coral Pokémon,0.6,0.5,Weak Armor Cursed Body,144,Fast,60,55,100,65,100,30,350
Remoraid,Water,Jet Pokémon,0.6,12,1. Hustle2. SniperMoody (hidden ability),60,Medium Fast,35,65,35,65,35,65,265
Octillery,Water,Jet Pokémon,0.9,28.5,1. Suction Cups2. SniperMoody (hidden ability),168,Medium Fast,75,105,75,105,75,45,405
Delibird,Ice Flying,Delivery Pokémon,0.9,16,1. Vital Spirit2. HustleInsomnia (hidden ability),116,Fast,45,55,45,65,45,75,285
Mantine,Water Flying,Kite Pokémon,2.1,220,1. Swift Swim2. Water AbsorbWater Veil (hidden ability),170,Slow,85,40,70,80,140,70,400
Skarmory,Steel Flying,Armor Bird Pokémon,1.7,50.5,1. Keen Eye2. SturdyWeak Armor (hidden ability),163,Slow,65,80,140,40,70,70,400
Houndour,Dark Fire,Dark Pokémon,0.6,10.8,1. Early Bird2. Flash FireUnnerve (hidden ability),66,Slow,45,60,30,80,50,65,285
Houndoom,Dark Fire,Dark Pokémon,1.9,49.5,Solar Power,210,Slow,75,90,90,140,90,115,525
Kingdra,Water Dragon,Dragon Pokémon,1.8,152,1. Swift Swim2. SniperDamp (hidden ability),243,Medium Fast,75,95,95,95,95,85,465
Phanpy,Ground,Long Nose Pokémon,0.5,33.5,1. PickupSand Veil (hidden ability),66,Medium Fast,90,60,60,40,40,40,240
Donphan,Ground,Armor Pokémon,1.1,120,1. SturdySand Veil (hidden ability),175,Medium Fast,90,120,120,60,60,50,410
Porygon2,Normal,Virtual Pokémon,0.6,32.5,1. Trace2. DownloadAnalytic (hidden ability),180,Medium Fast,85,80,90,105,95,60,430
Stantler,Normal,Big Horn Pokémon,1.4,71.2,1. Intimidate2. FriskSap Sipper (hidden ability),163,Slow,73,95,62,85,65,85,392
Smeargle,Normal,Painter Pokémon,1.2,58,1. Own Tempo2. TechnicianMoody (hidden ability),88,Fast,55,20,35,20,45,75,195
Tyrogue,Fighting,Scuffle Pokémon,0.7,21,1. Guts2. SteadfastVital Spirit (hidden ability),42,Medium Fast,35,35,35,35,35,35,175
Hitmontop,Fighting,Handstand Pokémon,1.4,48,1. Intimidate2. TechnicianSteadfast (hidden ability),159,Medium Fast,50,95,95,35,110,70,405
Smoochum,Ice Psychic,Kiss Pokémon,0.4,6,1. Oblivious2. ForewarnHydration (hidden ability),61,Medium Fast,45,30,15,85,65,65,260
Elekid,Electric,Electric Pokémon,0.6,23.5,1. StaticVital Spirit (hidden ability),72,Medium Fast,45,63,37,65,55,95,315
Magby,Fire,Live Coal Pokémon,0.7,21.4,1. Flame BodyVital Spirit (hidden ability),73,Medium Fast,45,75,37,70,55,83,320
Miltank,Normal,Milk Cow Pokémon,1.2,75.5,1. Thick Fat2. ScrappySap Sipper (hidden ability),172,Slow,95,80,105,40,70,100,395
Blissey,Normal,Happiness Pokémon,1.5,46.8,1. Natural Cure2. Serene GraceHealer (hidden ability),635,Fast,255,10,10,75,135,55,285
Raikou,Electric,Thunder Pokémon,1.9,178,1. PressureInner Focus (hidden ability),261,Slow,90,85,75,115,100,115,490
Entei,Fire,Volcano Pokémon,2.1,198,1. PressureInner Focus (hidden ability),261,Slow,115,115,85,90,75,100,465
Suicune,Water,Aurora Pokémon,2,187,1. PressureInner Focus (hidden ability),261,Slow,100,75,115,90,115,85,480
Larvitar,Rock Ground,Rock Skin Pokémon,0.6,72,1. GutsSand Veil (hidden ability),60,Slow,50,64,50,45,50,41,250
Pupitar,Rock Ground,Hard Shell Pokémon,1.2,152,1. Shed Skin,144,Slow,70,84,70,65,70,51,340
Tyranitar,Rock Dark,Armor Pokémon,2.5,255,Sand Stream,315,Slow,100,164,150,95,120,71,600
Lugia,Psychic Flying,Diving Pokémon,5.2,216,1. PressureMultiscale (hidden ability),306,Slow,106,90,130,90,154,110,574
Ho-oh,Fire Flying,Rainbow Pokémon,3.8,199,1. PressureRegenerator (hidden ability),306,Slow,106,130,90,110,154,90,574
Celebi,Psychic Grass,Time Travel Pokémon,0.6,5,1. Natural Cure,270,Medium Slow,100,100,100,100,100,100,500
Treecko,Grass,Wood Gecko Pokémon,0.5,5,1. OvergrowUnburden (hidden ability),62,Medium Slow,40,45,35,65,55,70,270
Grovyle,Grass,Wood Gecko Pokémon,0.9,21.6,1. OvergrowUnburden (hidden ability),142,Medium Slow,50,65,45,85,65,95,355
Sceptile,Grass Dragon,Forest Pokémon,1.9,55.2,Lightning Rod,284,Medium Slow,70,110,75,145,85,145,560
Torchic,Fire,Chick Pokémon,0.4,2.5,1. BlazeSpeed Boost (hidden ability),62,Medium Slow,45,60,40,70,50,45,265
Combusken,Fire Fighting,Young Fowl Pokémon,0.9,19.5,1. BlazeSpeed Boost (hidden ability),142,Medium Slow,60,85,60,85,60,55,345
Blaziken,Fire Fighting,Blaze Pokémon,1.9,52,Speed Boost,284,Medium Slow,80,160,80,130,80,100,550
Mudkip,Water,Mud Fish Pokémon,0.4,7.6,1. TorrentDamp (hidden ability),62,Medium Slow,50,70,50,50,50,40,260
Marshtomp,Water Ground,Mud Fish Pokémon,0.7,28,1. TorrentDamp (hidden ability),142,Medium Slow,70,85,70,60,70,50,335
Swampert,Water Ground,Mud Fish Pokémon,1.9,102,Swift Swim,286,Medium Slow,100,150,110,95,110,70,535
Poochyena,Dark,Bite Pokémon,0.5,13.6,1. Run Away2. Quick FeetRattled (hidden ability),56,Medium Fast,35,55,35,30,30,35,185
Mightyena,Dark,Bite Pokémon,1,37,1. Intimidate2. Quick FeetMoxie (hidden ability),147,Medium Fast,70,90,70,60,60,70,350
Zigzagoon,Dark Normal,Tiny Raccoon Pokémon,0.4,17.5,Pickup Gluttony Quick Feet,56,Medium Fast,38,30,41,30,41,60,202
Linoone,Dark Normal,Rushing Pokémon,0.5,32.5,Pickup Gluttony Quick Feet,147,Medium Fast,78,70,61,50,61,100,342
Wurmple,Bug,Worm Pokémon,0.3,3.6,1. Shield DustRun Away (hidden ability),56,Medium Fast,45,45,35,20,30,20,150
Silcoon,Bug,Cocoon Pokémon,0.6,10,1. Shed Skin,72,Medium Fast,50,35,55,25,25,15,155
Beautifly,Bug Flying,Butterfly Pokémon,1,28.4,1. SwarmRivalry (hidden ability),178,Medium Fast,60,70,50,100,50,65,335
Cascoon,Bug,Cocoon Pokémon,0.7,11.5,1. Shed Skin,72,Medium Fast,50,35,55,25,25,15,155
Dustox,Bug Poison,Poison Moth Pokémon,1.2,31.6,1. Shield DustCompound Eyes (hidden ability),173,Medium Fast,60,50,70,50,90,65,325
Lotad,Water Grass,Water Weed Pokémon,0.5,2.6,1. Swift Swim2. Rain DishOwn Tempo (hidden ability),44,Medium Slow,40,30,30,40,50,30,180
Lombre,Water Grass,Jolly Pokémon,1.2,32.5,1. Swift Swim2. Rain DishOwn Tempo (hidden ability),119,Medium Slow,60,50,50,60,70,50,280
Ludicolo,Water Grass,Carefree Pokémon,1.5,55,1. Swift Swim2. Rain DishOwn Tempo (hidden ability),216,Medium Slow,80,70,70,90,100,70,400
Seedot,Grass,Acorn Pokémon,0.5,4,1. Chlorophyll2. Early BirdPickpocket (hidden ability),44,Medium Slow,40,40,50,30,30,30,180
Nuzleaf,Grass Dark,Wily Pokémon,1,28,1. Chlorophyll2. Early BirdPickpocket (hidden ability),119,Medium Slow,70,70,40,60,40,60,270
Shiftry,Grass Dark,Wicked Pokémon,1.3,59.6,1. Chlorophyll2. Early BirdPickpocket (hidden ability),216,Medium Slow,90,100,60,90,60,80,390
Taillow,Normal Flying,TinySwallow Pokémon,0.3,2.3,1. GutsScrappy (hidden ability),54,Medium Slow,40,55,30,30,30,85,230
Swellow,Normal Flying,Swallow Pokémon,0.7,19.8,1. GutsScrappy (hidden ability),159,Medium Slow,60,85,60,75,50,125,395
Wingull,Water Flying,Seagull Pokémon,0.6,9.5,1. Keen Eye2. HydrationRain Dish (hidden ability),54,Medium Fast,40,30,30,55,30,85,230
Pelipper,Water Flying,Water Bird Pokémon,1.2,28,1. Keen Eye2. DrizzleRain Dish (hidden ability),154,Medium Fast,60,50,100,95,70,65,380
Ralts,Psychic Fairy,Feeling Pokémon,0.4,6.6,1. Synchronize2. TraceTelepathy (hidden ability),40,Slow,28,25,25,45,35,40,170
Kirlia,Psychic Fairy,Emotion Pokémon,0.8,20.2,1. Synchronize2. TraceTelepathy (hidden ability),97,Slow,38,35,35,65,55,50,240
Gardevoir,Psychic Fairy,Embrace Pokémon,1.6,48.4,Pixilate,278,Slow,68,85,65,165,135,100,550
Surskit,Bug Water,Pond Skater Pokémon,0.5,1.7,1. Swift SwimRain Dish (hidden ability),54,Medium Fast,40,30,32,50,52,65,229
Masquerain,Bug Flying,Eyeball Pokémon,0.8,3.6,1. IntimidateUnnerve (hidden ability),159,Medium Fast,70,60,62,100,82,80,384
Shroomish,Grass,Mushroom Pokémon,0.4,4.5,1. Effect Spore2. Poison HealQuick Feet (hidden ability),59,Fluctuating,60,40,60,40,60,35,235
Breloom,Grass Fighting,Mushroom Pokémon,1.2,39.2,1. Effect Spore2. Poison HealTechnician (hidden ability),161,Fluctuating,60,130,80,60,60,70,400
Slakoth,Normal,Slacker Pokémon,0.8,24,1. Truant,56,Slow,60,60,60,35,35,30,220
Vigoroth,Normal,Wild Monkey Pokémon,1.4,46.5,1. Vital Spirit,154,Slow,80,80,80,55,55,90,360
Slaking,Normal,Lazy Pokémon,2,130.5,1. Truant,285,Slow,150,160,100,95,65,100,520
Nincada,Bug Ground,Trainee Pokémon,0.5,5.5,1. Compound EyesRun Away (hidden ability),53,Erratic,31,45,90,30,30,40,235
Ninjask,Bug Flying,Ninja Pokémon,0.8,12,1. Speed BoostInfiltrator (hidden ability),160,Erratic,61,90,45,50,50,160,395
Shedinja,Bug Ghost,Shed Pokémon,0.8,1.2,1. Wonder Guard,83,Erratic,1,90,45,30,30,40,235
Whismur,Normal,Whisper Pokémon,0.6,16.3,1. SoundproofRattled (hidden ability),48,Medium Slow,64,51,23,51,23,28,176
Loudred,Normal,Big Voice Pokémon,1,40.5,1. SoundproofScrappy (hidden ability),126,Medium Slow,84,71,43,71,43,48,276
Exploud,Normal,Loud Noise Pokémon,1.5,84,1. SoundproofScrappy (hidden ability),221,Medium Slow,104,91,63,91,73,68,386
Makuhita,Fighting,Guts Pokémon,1,86.4,1. Thick Fat2. GutsSheer Force (hidden ability),47,Fluctuating,72,60,30,20,30,25,165
Hariyama,Fighting,Arm Thrust Pokémon,2.3,253.8,1. Thick Fat2. GutsSheer Force (hidden ability),166,Fluctuating,144,120,60,40,60,50,330
Azurill,Normal Fairy,Polka Dot Pokémon,0.2,2,1. Thick Fat2. Huge PowerSap Sipper (hidden ability),38,Fast,50,20,40,20,40,20,140
Nosepass,Rock,Compass Pokémon,1,97,1. Sturdy2. Magnet PullSand Force (hidden ability),75,Medium Fast,30,45,135,45,90,30,345
Skitty,Normal,Kitten Pokémon,0.6,11,1. Cute Charm2. NormalizeWonder Skin (hidden ability),52,Fast,50,45,45,35,35,50,210
Delcatty,Normal,Prim Pokémon,1.1,32.6,1. Cute Charm2. NormalizeWonder Skin (hidden ability),140,Fast,70,65,65,55,55,90,330
Sableye,Dark Ghost,Darkness Pokémon,0.5,161,Magic Bounce,168,Medium Slow,50,85,125,85,115,20,430
Mawile,Steel Fairy,Deceiver Pokémon,1,23.5,Huge Power,168,Fast,50,105,125,55,95,50,430
Aron,Steel Rock,Iron Armor Pokémon,0.4,60,1. Sturdy2. Rock HeadHeavy Metal (hidden ability),66,Slow,50,70,100,40,40,30,280
Lairon,Steel Rock,Iron Armor Pokémon,0.9,120,1. Sturdy2. Rock HeadHeavy Metal (hidden ability),151,Slow,60,90,140,50,50,40,370
Aggron,Steel,Iron Armor Pokémon,2.2,395,Filter,284,Slow,70,140,230,60,80,50,560
Meditite,Fighting Psychic,Meditate Pokémon,0.6,11.2,1. Pure PowerTelepathy (hidden ability),56,Medium Fast,30,40,55,40,55,60,250
Medicham,Fighting Psychic,Meditate Pokémon,1.3,31.5,Pure Power,179,Medium Fast,60,100,85,80,85,100,450
Electrike,Electric,Lightning Pokémon,0.6,15.2,1. Static2. Lightning RodMinus (hidden ability),59,Slow,40,45,40,65,40,65,255
Manectric,Electric,Discharge Pokémon,1.8,44,Intimidate,201,Slow,70,75,80,135,80,135,505
Plusle,Electric,Cheering Pokémon,0.4,4.2,1. PlusLightning Rod (hidden ability),142,Medium Fast,60,50,40,85,75,95,345
Minun,Electric,Cheering Pokémon,0.4,4.2,1. MinusVolt Absorb (hidden ability),142,Medium Fast,60,40,50,75,85,95,345
Volbeat,Bug,Firefly Pokémon,0.7,17.7,1. Illuminate2. SwarmPrankster (hidden ability),151,Erratic,65,73,75,47,85,85,365
Illumise,Bug,Firefly Pokémon,0.6,17.7,1. Oblivious2. Tinted LensPrankster (hidden ability),151,Fluctuating,65,47,75,73,85,85,365
Roselia,Grass Poison,Thorn Pokémon,0.3,2,1. Natural Cure2. Poison PointLeaf Guard (hidden ability),140,Medium Slow,50,60,45,100,80,65,350
Gulpin,Poison,Stomach Pokémon,0.4,10.3,1. Liquid Ooze2. Sticky HoldGluttony (hidden ability),60,Fluctuating,70,43,53,43,53,40,232
Swalot,Poison,Poison Bag Pokémon,1.7,80,1. Liquid Ooze2. Sticky HoldGluttony (hidden ability),163,Fluctuating,100,73,83,73,83,55,367
Carvanha,Water Dark,Savage Pokémon,0.8,20.8,1. Rough SkinSpeed Boost (hidden ability),61,Slow,45,90,20,65,20,65,260
Sharpedo,Water Dark,Brutal Pokémon,2.5,130.3,Strong Jaw,196,Slow,70,140,70,110,65,105,490
Wailmer,Water,Ball Whale Pokémon,2,130,1. Water Veil2. ObliviousPressure (hidden ability),80,Fluctuating,130,70,35,70,35,60,270
Wailord,Water,Float Whale Pokémon,14.5,398,1. Water Veil2. ObliviousPressure (hidden ability),175,Fluctuating,170,90,45,90,45,60,330
Numel,Fire Ground,Numb Pokémon,0.7,24,1. Oblivious2. SimpleOwn Tempo (hidden ability),61,Medium Fast,60,60,40,65,45,35,245
Camerupt,Fire Ground,Eruption Pokémon,2.5,320.5,Sheer Force,196,Medium Fast,70,120,100,145,105,20,490
Torkoal,Fire,Coal Pokémon,0.5,80.4,1. White Smoke2. DroughtShell Armor (hidden ability),165,Medium Fast,70,85,140,85,70,20,400
Spoink,Psychic,Bounce Pokémon,0.7,30.6,1. Thick Fat2. Own TempoGluttony (hidden ability),66,Fast,60,25,35,70,80,60,270
Grumpig,Psychic,Manipulate Pokémon,0.9,71.5,1. Thick Fat2. Own TempoGluttony (hidden ability),165,Fast,80,45,65,90,110,80,390
Spinda,Normal,Spot Panda Pokémon,1.1,5,1. Own Tempo2. Tangled FeetContrary (hidden ability),126,Fast,60,60,60,60,60,60,300
Trapinch,Ground,Ant Pit Pokémon,0.7,15,1. Hyper Cutter2. Arena TrapSheer Force (hidden ability),58,Medium Slow,45,100,45,45,45,10,245
Vibrava,Ground Dragon,Vibration Pokémon,1.1,15.3,1. Levitate,119,Medium Slow,50,70,50,50,50,70,290
Flygon,Ground Dragon,Mystic Pokémon,2,82,1. Levitate,234,Medium Slow,80,100,80,80,80,100,440
Cacnea,Grass,Cactus Pokémon,0.4,51.3,1. Sand VeilWater Absorb (hidden ability),67,Medium Slow,50,85,40,85,40,35,285
Cacturne,Grass Dark,Scarecrow Pokémon,1.3,77.4,1. Sand VeilWater Absorb (hidden ability),166,Medium Slow,70,115,60,115,60,55,405
Swablu,Normal Flying,Cotton Bird Pokémon,0.4,1.2,1. Natural CureCloud Nine (hidden ability),62,Erratic,45,40,60,40,75,50,265
Altaria,Dragon Fairy,Humming Pokémon,1.5,20.6,Pixilate,207,Erratic,75,110,110,110,105,80,515
Zangoose,Normal,Cat Ferret Pokémon,1.3,40.3,1. ImmunityToxic Boost (hidden ability),160,Erratic,73,115,60,60,60,90,385
Seviper,Poison,Fang Snake Pokémon,2.7,52.5,1. Shed SkinInfiltrator (hidden ability),160,Fluctuating,73,100,60,100,60,65,385
Lunatone,Rock Psychic,Meteorite Pokémon,1,168,1. Levitate,161,Fast,90,55,65,95,85,70,370
Solrock,Rock Psychic,Meteorite Pokémon,1.2,154,1. Levitate,161,Fast,90,95,85,55,65,70,370
Barboach,Water Ground,Whiskers Pokémon,0.4,1.9,1. Oblivious2. AnticipationHydration (hidden ability),58,Medium Fast,50,48,43,46,41,60,238
Whiscash,Water Ground,Whiskers Pokémon,0.9,23.6,1. Oblivious2. AnticipationHydration (hidden ability),164,Medium Fast,110,78,73,76,71,60,358
Corphish,Water,Ruffian Pokémon,0.6,11.5,1. Hyper Cutter2. Shell ArmorAdaptability (hidden ability),62,Fluctuating,43,80,65,50,35,35,265
Crawdaunt,Water Dark,Rogue Pokémon,1.1,32.8,1. Hyper Cutter2. Shell ArmorAdaptability (hidden ability),164,Fluctuating,63,120,85,90,55,55,405
Baltoy,Ground Psychic,Clay Doll Pokémon,0.5,21.5,1. Levitate,60,Medium Fast,40,40,55,40,70,55,260
Claydol,Ground Psychic,Clay Doll Pokémon,1.5,108,1. Levitate,175,Medium Fast,60,70,105,70,120,75,440
Lileep,Rock Grass,Sea Lily Pokémon,1,23.8,1. Suction CupsStorm Drain (hidden ability),71,Erratic,66,41,77,61,87,23,289
Cradily,Rock Grass,Barnacle Pokémon,1.5,60.4,1. Suction CupsStorm Drain (hidden ability),173,Erratic,86,81,97,81,107,43,409
Anorith,Rock Bug,Old Shrimp Pokémon,0.7,12.5,1. Battle ArmorSwift Swim (hidden ability),71,Erratic,45,95,50,40,50,75,310
Armaldo,Rock Bug,Plate Pokémon,1.5,68.2,1. Battle ArmorSwift Swim (hidden ability),173,Erratic,75,125,100,70,80,45,420
Feebas,Water,Fish Pokémon,0.6,7.4,1. Swift Swim2. ObliviousAdaptability (hidden ability),40,Erratic,20,15,20,10,55,80,180
Milotic,Water,Tender Pokémon,6.2,162,1. Marvel Scale2. CompetitiveCute Charm (hidden ability),189,Erratic,95,60,79,100,125,81,445
Castform,Ice,Weather Pokémon,0.3,0.8,Forecast,147,Medium Fast,70,70,70,70,70,70,350
Kecleon,Normal,Color Swap Pokémon,1,22,1. Color ChangeProtean (hidden ability),154,Medium Slow,60,90,70,60,120,40,380
Shuppet,Ghost,Puppet Pokémon,0.6,2.3,1. Insomnia2. FriskCursed Body (hidden ability),59,Fast,44,75,35,63,33,45,251
Banette,Ghost,Marionette Pokémon,1.2,13,Prankster,194,Fast,64,165,75,93,83,75,491
Duskull,Ghost,Requiem Pokémon,0.8,15,1. LevitateFrisk (hidden ability),59,Fast,20,40,90,30,90,25,275
Dusclops,Ghost,Beckon Pokémon,1.6,30.6,1. PressureFrisk (hidden ability),159,Fast,40,70,130,60,130,25,415
Tropius,Grass Flying,Fruit Pokémon,2,100,1. Chlorophyll2. Solar PowerHarvest (hidden ability),161,Slow,99,68,83,72,87,51,361
Chimecho,Psychic,Wind Chime Pokémon,0.6,1,1. Levitate,159,Fast,75,50,80,95,90,65,380
Absol,Dark,Disaster Pokémon,1.2,49,Magic Bounce,198,Medium Slow,65,150,60,115,60,115,500
Wynaut,Psychic,Bright Pokémon,0.6,14,1. Shadow TagTelepathy (hidden ability),52,Medium Fast,95,23,48,23,48,23,165
Snorunt,Ice,Snow Hat Pokémon,0.7,16.8,1. Inner Focus2. Ice BodyMoody (hidden ability),60,Medium Fast,50,50,50,50,50,50,250
Glalie,Ice,Face Pokémon,2.1,350.2,Refrigerate,203,Medium Fast,80,120,80,120,80,100,500
Spheal,Ice Water,Clap Pokémon,0.8,39.5,1. Thick Fat2. Ice BodyOblivious (hidden ability),58,Medium Slow,70,40,50,55,50,25,220
Sealeo,Ice Water,Ball Roll Pokémon,1.1,87.6,1. Thick Fat2. Ice BodyOblivious (hidden ability),144,Medium Slow,90,60,70,75,70,45,320
Walrein,Ice Water,Ice Break Pokémon,1.4,150.6,1. Thick Fat2. Ice BodyOblivious (hidden ability),239,Medium Slow,110,80,90,95,90,65,420
Clamperl,Water,Bivalve Pokémon,0.4,52.5,1. Shell ArmorRattled (hidden ability),69,Erratic,35,64,85,74,55,32,310
Huntail,Water,Deep Sea Pokémon,1.7,27,1. Swift SwimWater Veil (hidden ability),170,Erratic,55,104,105,94,75,52,430
Gorebyss,Water,South Sea Pokémon,1.8,22.6,1. Swift SwimHydration (hidden ability),170,Erratic,55,84,105,114,75,52,430
Relicanth,Water Rock,Longevity Pokémon,1,23.4,1. Swift Swim2. Rock HeadSturdy (hidden ability),170,Slow,100,90,130,45,65,55,385
Luvdisc,Water,Rendezvous Pokémon,0.6,8.7,1. Swift SwimHydration (hidden ability),116,Fast,43,30,55,40,65,97,287
Bagon,Dragon,Rock Head Pokémon,0.6,42.1,1. Rock HeadSheer Force (hidden ability),60,Slow,45,75,60,40,30,50,255
Shelgon,Dragon,Endurance Pokémon,1.1,110.5,1. Rock HeadOvercoat (hidden ability),147,Slow,65,95,100,60,50,50,355
Salamence,Dragon Flying,Dragon Pokémon,1.8,112.6,Aerilate,315,Slow,95,145,130,120,90,120,605
Beldum,Steel Psychic,Iron Ball Pokémon,0.6,95.2,1. Clear BodyLight Metal (hidden ability),60,Slow,40,55,80,35,60,30,260
Metang,Steel Psychic,Iron Claw Pokémon,1.2,202.5,1. Clear BodyLight Metal (hidden ability),147,Slow,60,75,100,55,80,50,360
Metagross,Steel Psychic,Iron Leg Pokémon,2.5,942.9,Tough Claws,315,Slow,80,145,150,105,110,110,620
Regirock,Rock,Rock Peak Pokémon,1.7,230,1. Clear BodySturdy (hidden ability),261,Slow,80,100,200,50,100,50,500
Regice,Ice,Iceberg Pokémon,1.8,175,1. Clear BodyIce Body (hidden ability),261,Slow,80,50,100,100,200,50,500
Registeel,Steel,Iron Pokémon,1.9,205,1. Clear BodyLight Metal (hidden ability),261,Slow,80,75,150,75,150,50,500
Latias,Dragon Psychic,Eon Pokémon,1.8,52,Levitate,315,Slow,80,100,120,140,150,110,620
Latios,Dragon Psychic,Eon Pokémon,2.3,70,Levitate,315,Slow,80,130,100,160,120,110,620
Kyogre,Water,Sea Basin Pokémon,9.8,430,Primordial Sea,347,Slow,100,150,90,180,160,90,670
Groudon,Ground Fire,Continent Pokémon,5,999.7,Desolate Land,347,Slow,100,180,160,150,90,90,670
Rayquaza,Dragon Flying,Sky High Pokémon,10.8,392,Delta Stream,351,Slow,105,180,100,180,100,115,675
Jirachi,Steel Psychic,Wish Pokémon,0.3,1.1,1. Serene Grace,270,Slow,100,100,100,100,100,100,500
Deoxys,Psychic,DNA Pokémon,1.7,60.8,Pressure,270,Slow,50,95,90,95,90,180,550
Turtwig,Grass,Tiny Leaf Pokémon,0.4,10.2,1. OvergrowShell Armor (hidden ability),64,Medium Slow,55,68,64,45,55,31,263
Grotle,Grass,Grove Pokémon,1.1,97,1. OvergrowShell Armor (hidden ability),142,Medium Slow,75,89,85,55,65,36,330
Torterra,Grass Ground,Continent Pokémon,2.2,310,1. OvergrowShell Armor (hidden ability),236,Medium Slow,95,109,105,75,85,56,430
Chimchar,Fire,Chimp Pokémon,0.5,6.2,1. BlazeIron Fist (hidden ability),62,Medium Slow,44,58,44,58,44,61,265
Monferno,Fire Fighting,Playful Pokémon,0.9,22,1. BlazeIron Fist (hidden ability),142,Medium Slow,64,78,52,78,52,81,341
Infernape,Fire Fighting,Flame Pokémon,1.2,55,1. BlazeIron Fist (hidden ability),240,Medium Slow,76,104,71,104,71,108,458
Piplup,Water,Penguin Pokémon,0.4,5.2,1. TorrentDefiant (hidden ability),63,Medium Slow,53,51,53,61,56,40,261
Prinplup,Water,Penguin Pokémon,0.8,23,1. TorrentDefiant (hidden ability),142,Medium Slow,64,66,68,81,76,50,341
Empoleon,Water Steel,Emperor Pokémon,1.7,84.5,1. TorrentDefiant (hidden ability),239,Medium Slow,84,86,88,111,101,60,446
Starly,Normal Flying,Starling Pokémon,0.3,2,1. Keen EyeReckless (hidden ability),49,Medium Slow,40,55,30,30,30,60,205
Staravia,Normal Flying,Starling Pokémon,0.6,15.5,1. IntimidateReckless (hidden ability),119,Medium Slow,55,75,50,40,40,80,285
Staraptor,Normal Flying,Predator Pokémon,1.2,24.9,1. IntimidateReckless (hidden ability),243,Medium Slow,85,120,70,50,60,100,400
Bidoof,Normal,Plump Mouse Pokémon,0.5,20,1. Simple2. UnawareMoody (hidden ability),50,Medium Fast,59,45,40,35,40,31,191
